type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
6,2021-06-12 13:09:05+0000,332,1.3839285,0.33417216,391.0,0.848,28.0
6,2021-06-12 12:14:22+0000,559,3.0194805,0.62887627,541.0,1.032,61.0
6,2021-06-11 11:29:59+0000,489,3.0194805,0.61561185,512.0,0.953,68.0
