time,weight,height,bmi,fatRate,bodyWaterRate,boneMass,metabolism,muscleRate,visceralFat
2021-06-09 12:47:11+0000,53.0,null,null,null,null,null,null,null,null
2021-06-09 13:13:33+0000,60.0,171.0,20.5,null,null,null,null,null,null
2021-06-23 16:59:43+0000,70.0,171.0,23.9,null,null,null,null,null,null
2022-02-05 18:29:37+0000,72.0,170.0,24.9,null,null,null,null,null,null
